Year,GDP,Population,Install,Demand,Production,Consumption
2512,264.45,35.85,907.7,638.1,"3,375.72","3,152.25"
2513,279.94,36.88,969.7,748.35,"4,095.32","3,866.25"
2514,291.31,37.96,"1,167.20",872.7,"4,792.88","4,477.45"
2515,323.03,39.06,"1,391.20","1,028.80","5,711.15","5,293.25"
2516,428.18,40.16,"1,448.20","1,199.30","6,872.84","6,399.75"
2517,541.15,41.25,"2,143.80","1,256.30","7,258.62","6,687.05"
2518,587.76,42.33,"2,437.55","1,406.60","8,211.57","7,589.97"
2519,671.11,43.38,"2,437.55","1,652.10","9,414.48","8,695.70"
2520,781.31,44.41,"2,437.55","1,873.40","10,950.62","10,149.54"
2521,948.4,45.41,"2,811.30","2,100.60","12,371.67","11,516.32"
2522,"1,081.12",46.11,"2,886.30","2,255.00","13,964.55","12,916.50"
2523,"1,277.83",46.96,"3,246.30","2,417.40","14,753.73","13,657.14"
2524,"1,376.58",47.87,"3,829.30","2,588.70","15,959.97","14,545.57"
2525,"1,445.31",48.84,"4,071.72","2,838.00","16,881.95","15,385.52"
2526,"1,581.58",49.51,"4,978.02","3,204.30","19,066.30","17,560.89"
2527,"1,651.10",50.58,"5,855.22","3,547.30","21,066.44","19,357.03"
2528,"1,536.55",51.79,"6,459.72","3,878.40","23,356.57","22,239.65"
2529,"1,702.45",52.97,"6,624.22","4,180.90","24,779.53","22,593.40"
2530,"1,996.33",53.87,"6,866.67","4,733.90","28,194.29","25,828.20"
2531,"2,435.97",54.96,"6,918.27","5,444.00","31,997.96","29,493.52"
2532,"2,853.88",55.89,"7,293.27","6,232.70","36,457.90","33,611.20"
2533,"3,373.50",55.84,"7,991.51","7,093.70","43,189.71","39,368.77"
2534,"3,656.90",57.03,"9,629.56","8,045.00","49,225.83","44,773.24"
2535,"3,994.50",57.62,"11,044.56","8,876.90","56,007.22","50,771.35"
2536,"4,341.00",58.44,"12,185.87","9,730.00","62,180.71","56,558.21"
2537,"4,688.20",59.24,"12,956.15","10,708.80","69,651.14","63,642.49"
2538,"5,068.90",59.28,"14,659.15","12,267.90","78,880.37","72,779.56"
2539,"5,355.40",59.9,"15,725.29","13,310.90","85,924.12","79,450.95"
2540,"5,207.90",60.5,"16,966.89","14,506.30","92,724.66","85,896.66"
2541,"4,810.30",61.2,"17,935.29","14,179.90","92,134.44","85,597.60"
2542,"5,030.30",61.8,"19,097.69","13,712.40","90,413.99","84,512.02"
2543,"5,254.40",61.88,"21,073.99","14,918.30","96,780.72","90,724.16"
2544,"5,435.40",62.31,"22,004.79","16,126.40","103,165.20","97,412.45"
2545,"5,769.60",62.8,"23,754.79","16,681.10","108,389.24","102,485.69"
2546,"6,184.40",63.08,"25,646.99","18,121.40","116,743.45","110,675.60"
2547,"6,573.30",61.97,"25,969.01","19,325.80","125,318.79","118,938.53"
2548,"6,848.60",62.42,"26,450.16","20,537.50","133,621.60","127,025.08"
2549,"7,188.80",62.83,"27,107.20","21,064.00","142,004.68","134,060.66"
2550,"7,579.50",63.04,"28,530.25","22,586.10","146,925.49","139,445.52"
2551,"7,710.30",63.39,"29,840.90","22,568.20","148,266.20","141,558.64"
2552,"7,657.10",63.53,"29,212.02","22,044.90","145,286.31","141,692.85"
2553,"8,232.40",63.88,"30,920.02","24,009.90","160,189.53","156,125.06"
2554,"8,301.60",64.08,"31,446.72","23,900.21","158,963.30","155,207.26"
2555,"8,902.80",64.46,"32,600.22","26,121.10","173,250.28","169,369.97"
2556,"9,142.10",64.79,"33,681.02","26,598.14","173,535.45","169,530.32"
2557,"9,232.10",65.12,"34,668.03","26,942.10","177,580.47","173,603.81"
2558,"9,521.40",65.73,"38,814.95","27,345.80","183,466.84","179,537.39"
2559,"9,847.90",65.93,"41,096.25","29,618.80","188,999.64","185,046.51"
2560,"10,248.40",66.19,"42,433.25","28,578.40","188,934.97","185,130.89"
2561,"10,676.70",66.41,"43,372.50","28,338.10","191,377.73","187,388.54"
2562,"10,925.10",66.56,"46,226.87","30,853.30","194,940.23","192,960.14"
